First_Derivative,Second_Derivative,Label
-68.90950745197165,-2573.51026997212,1.0
-194.28047747253368,507.2595923782833,1.0
-5.101579168554736,1100.0531697501235,1.0
-55.90534407333587,-1700.3326758809103,1.0
-218.98556888652024,3331.31555068355,1.0
363.13915886227835,2547.165918550806,1.0
101.42114731744618,-3085.059973019875,1.0
-24.92897916066522,-3934.221085210288,1.0
-393.4625387243881,-2422.8643535144734,1.0
-329.6998641915327,4831.984212048174,1.0
214.35031824588884,1502.987604735327,1.0
-140.63981143985848,-2386.740381321805,1.0
-85.87655054237678,-2209.649345408153,1.0
-418.5904881383163,1377.3272724570847,1.0
87.37675239015903,5313.643481390316,0.0
249.81004539246493,-5630.467819915549,1.0
-620.8769548899634,-5183.020386181579,1.0
-402.1594748731735,6087.9679442854285,0.0
144.9254622895129,6117.170193599233,0.0
367.31627851901584,-1557.581074784469,0.0
-51.001875524853745,-5352.430564776937,1.0
-305.96326266828487,-2398.9880193031686,0.0
-352.7693685175612,2074.502750173267,0.0
-45.012608021783535,3488.738136072808,0.0
86.07724203639174,-1301.4759921245668,0.0
-208.7246166576876,-3309.0191142198105,0.0
-330.16260340188586,-1325.2697453515657,0.0
-375.4296295113945,1222.6289401302465,0.0
-176.36872566897335,3021.0777498477964,0.0
4.590216928860968,-22.86151809560124,0.0
-179.24446449977648,-1308.573462106241,0.0
-160.01457887636678,318.56585030123256,0.0
-139.17222686250193,1746.3349840551919,0.0
59.65601798508408,-155.8243662323482,0.0
-158.773295299172,-2866.1490689473912,0.0
-300.8754278246627,1787.7556828976021,0.0
66.1075903786882,2016.6169455848667,0.0
-47.20619934199374,-3621.0824466238128,0.0
-389.38654425019763,875.1848012383787,0.0
62.88285539690344,3557.4606288584177,-1.0
58.10463401032791,-4488.440549932433,0.0
-501.7158175857745,-1298.858026632507,-1.0
-105.27806206674336,4595.693244481483,-1.0
76.3741177501729,1447.4630190350824,-1.0
76.7975810541044,142.55272484452087,-1.0
94.30575311036341,-3143.805749490449,-1.0
-318.66015856201705,-425.5588824175088,-1.0
40.77491592626973,5153.747080046205,-1.0
329.6270872891598,-2055.0987232335237,-1.0
-217.73491595810492,-6075.001183637485,-1.0
-434.5442476083341,866.5792832543792,-1.0
-108.72834498610177,4116.8955730026855,-1.0
83.31797011906087,1402.403704011037,-1.0
67.67930962403739,-1259.5179215426197,-1.0
-75.11615398035906,-784.5642871661144,-1.0
-31.01063635514174,2908.4305217158762,-1.0
290.7338544480035,1078.525169693716,-1.0
104.65650077481541,-2722.5362314163626,-1.0
-51.73260496139619,-736.0898728436504,-1.0
12.064126924666198,706.1930567732179,-1.0
37.09906347403444,1069.9056606440113,-1.0
146.6470203586357,289.6468953123501,-1.0
73.5336003488444,-617.930312532019,-1.0
68.91787800503835,1932.9437524748694,-1.0
316.67762007167016,-1724.1774093216345,-1.0
