Second_Derivative,Label
2191.0474339392867,0.0
226.51146448954205,0.0
-1112.1073184573852,0.0
141.7773719114116,0.0
-717.9495699908721,-1.0
-4179.553561146046,-1.0
1211.5686135680908,-1.0
5428.068972698549,-1.0
2667.753110913239,-1.0
-2117.738264287449,-1.0
-4578.805960512038,-1.0
-65.59160957893255,-1.0
1080.4769721900593,-1.0
2616.48385665021,-1.0
6146.620799773967,-1.0
-2517.6068380161073,-1.0
-5622.722333190569,-1.0
4478.991139958914,-1.0
3522.439439981344,-1.0
-1448.8761273801374,-1.0
252.41819553871255,-1.0
1823.9916296417673,-1.0
3152.0263099981057,-1.0
-2132.8994716225016,-1.0
-3975.3292518036956,-1.0
1398.6082261747697,-1.0
2248.2341874036515,-1.0
2093.997411272802,-1.0
2777.7387582038577,-1.0
-2188.5818323030903,-1.0
-1374.8146420120574,-1.0
6772.639441678769,-1.0
-1853.7953071934635,-1.0
-6671.0886139697795,-1.0
4472.167977779032,-1.0
5051.489151928623,-1.0
-3243.043696705314,-1.0
126.3028557628113,-1.0
7643.461146405156,-1.0
199.35393993393336,-1.0
-9228.565224374432,-1.0
-294.33756306700434,-1.0
8031.163299997459,-1.0
543.342552921149,-1.0
-3894.7636082006475,-1.0
-931.0679560560093,-1.0
2041.061318785401,-1.0
1323.6357375268103,-1.0
-521.2500686845324,-1.0
20.633610055251665,0.0
-1176.8712452808177,0.0
-4139.37449498812,0.0
-3283.9150946333325,0.0
-3267.1500639556843,0.0
1458.1649862559862,0.0
5883.031155165141,0.0
-2237.601569042121,0.0
-2865.5076054275164,0.0
1672.4633330622073,0.0
-1767.8157548967765,0.0
410.5898550824302,0.0
4156.132982771347,0.0
-1023.7310557482737,1.0
-3919.6454156136197,1.0
-2094.692254495336,1.0
3813.5534309802856,1.0
3127.604884357424,1.0
-3507.839678759734,1.0
881.5860881626427,1.0
-36.89353982352509,1.0
-4614.811843391177,1.0
2917.19701698447,1.0
2956.1720288557854,1.0
-3112.3552846344433,1.0
-2573.51026997212,1.0
507.2595923782833,1.0
1100.0531697501235,1.0
-1700.3326758809103,1.0
3331.31555068355,1.0
2547.165918550806,1.0
-3085.059973019875,1.0
-3934.221085210288,1.0
-2422.8643535144734,1.0
4831.984212048174,1.0
1502.987604735327,1.0
-2386.740381321805,1.0
-2209.649345408153,1.0
1377.3272724570847,1.0
5313.643481390316,0.0
-5630.467819915549,1.0
-5183.020386181579,1.0
6087.9679442854285,0.0
6117.170193599233,0.0
-1557.581074784469,0.0
-5352.430564776937,1.0
-2398.9880193031686,0.0
2074.502750173267,0.0
3488.738136072808,0.0
-1301.4759921245668,0.0
-3309.0191142198105,0.0
-1325.2697453515657,0.0
1222.6289401302465,0.0
3021.0777498477964,0.0
-22.86151809560124,0.0
-1308.573462106241,0.0
318.56585030123256,0.0
1746.3349840551919,0.0
-155.8243662323482,0.0
-2866.1490689473912,0.0
1787.7556828976021,0.0
2016.6169455848667,0.0
-3621.0824466238128,0.0
875.1848012383787,0.0
3557.4606288584177,-1.0
-4488.440549932433,0.0
-1298.858026632507,-1.0
4595.693244481483,-1.0
1447.4630190350824,-1.0
142.55272484452087,-1.0
-3143.805749490449,-1.0
-425.5588824175088,-1.0
5153.747080046205,-1.0
-2055.0987232335237,-1.0
-6075.001183637485,-1.0
866.5792832543792,-1.0
4116.8955730026855,-1.0
1402.403704011037,-1.0
-1259.5179215426197,-1.0
-784.5642871661144,-1.0
2908.4305217158762,-1.0
1078.525169693716,-1.0
-2722.5362314163626,-1.0
-736.0898728436504,-1.0
706.1930567732179,-1.0
1069.9056606440113,-1.0
289.6468953123501,-1.0
-617.930312532019,-1.0
1932.9437524748694,-1.0
-1724.1774093216345,-1.0
-4611.313177906661,0.0
6056.300849051024,-1.0
4928.764388205698,-1.0
-3757.008500980248,0.0
-140.74713217533554,0.0
-350.05649313755646,0.0
-3396.0379595421873,0.0
-750.9726672441741,0.0
2253.206508212771,0.0
-151.50709940950293,0.0
934.5869612449947,0.0
1435.3650108255272,0.0
-4476.5945179881255,0.0
-360.75090831471766,0.0
2173.6761535594587,0.0
-4109.352566931454,0.0
542.2572964836248,0.0
5536.937541353795,0.0
-695.0519657094061,0.0
-1803.073777079302,0.0
-1588.1265649314114,0.0
2542.140319349814,0.0
582.8304453481911,0.0
-6180.445252056508,0.0
2852.6152839255565,0.0
3473.0300385831224,0.0
-1687.8790051633732,0.0
-472.22480953530675,0.0
-2124.8127482770246,0.0
-1882.016864944775,0.0
6407.39456994823,0.0
-570.2636359795436,0.0
-5095.507770709855,0.0
7477.266191044016,0.0
-2360.374516349271,0.0
-6484.021505595904,0.0
4596.380983096255,0.0
-939.9499676015903,0.0
-2180.6555939698655,0.0
2972.1633300594876,0.0
1453.6792031411153,0.0
-202.46285265597476,0.0
-1750.3120258833173,0.0
-331.4559231199107,0.0
2481.047790674659,0.0
1388.2104594103473,0.0
-2442.0664665473846,0.0
-2543.2738817685367,0.0
-806.7470486045438,0.0
2954.112315862757,0.0
3001.061982568782,0.0
-2194.8370105505655,0.0
1062.1398670709993,0.0
218.28125575347147,0.0
-3408.893109588401,0.0
300.62216806130596,0.0
-1294.525454687042,0.0
3203.048045684897,0.0
2410.5443498980376,0.0
-4195.309924539548,0.0
1116.1392845605915,0.0
-49.06597747430533,0.0
1563.4725295375513,0.0
-1570.2525254942166,0.0
-4932.017297969892,0.0
2663.698272243067,0.0
-361.85178084518975,0.0
-459.53388487033357,0.0
6624.382742162011,0.0
3235.386252653897,0.0
-6304.422288574842,0.0
-3707.1680734006172,0.0
852.9704746641673,0.0
-544.3384082872969,0.0
3568.3935823063043,0.0
4311.040162038598,0.0
-3853.8158168142113,0.0
-4175.5787711144385,0.0
3972.5555235893244,0.0
-508.17196516245804,0.0
-7738.448549624879,0.0
4039.3623296437945,0.0
10126.828625410544,0.0
-4071.6392991895477,0.0
-6851.773787459324,0.0
1579.1781411591824,0.0
3577.031259825183,0.0
1564.7836139203296,0.0
-3454.2884661785183,0.0
-378.207616196456,0.0
4876.41534432746,0.0
-2397.674706071325,0.0
-4502.625210898548,0.0
121.73412700604581,0.0
70.97851598446778,0.0
2259.781713126526,0.0
4119.112758484839,0.0
-3430.6482087512427,0.0
-3622.386324357636,0.0
5584.435678802769,0.0
-975.620413115397,0.0
-2728.232152591666,0.0
5713.519283871339,0.0
-2860.879017587682,0.0
-5208.983587238609,0.0
1999.3845488577094,0.0
11.072374375592517,0.0
-1180.433896727558,0.0
3026.5240064636882,0.0
5316.32684497151,0.0
-3715.6296691532807,0.0
-3257.2035733896223,0.0
4270.786580849189,0.0
3096.1246678903844,0.0
